meter_id,timestamp,voltage,current,power,power_factor,consumption_kwh,is_anomaly,anomaly_type,day_of_week,hour,season,house_type,family_size,work_schedule,solar_equipped,daily_avg,daily_avg_consumption,hourly_avg_consumption,consumption_ratio,rolling_mean_24h,rolling_std_24h
M001,2006-12-16 17:15:00,234.36666666666667,19.7,4.5873333333333335,0.98,1.1468333333333334,0,NORMAL,Saturday,17,Winter,Medium,4,WFH,False,5.0,0.7545768278271253,0.6245280765339869,1.5198364050427409,1.1468333333333334,0.0
M001,2006-12-16 17:30:00,234.7686666666667,17.773333333333333,4.140666666666666,0.98,1.0351666666666666,0,NORMAL,Saturday,17,Winter,Medium,4,WFH,False,5.0,0.7545768278271253,0.6245280765339869,1.3718505902805496,1.091,0.0789602572324979
M001,2006-12-16 17:45:00,234.63,17.78666666666667,4.1593333333333335,0.98,1.0398333333333334,0,NORMAL,Saturday,17,Winter,Medium,4,WFH,False,5.0,0.7545768278271253,0.6245280765339869,1.378035072091507,1.0739444444444446,0.06316673995891382
M001,2006-12-16 18:00:00,235.56599999999997,17.706666666666667,4.121066666666667,0.98,1.0302666666666667,0,NORMAL,Saturday,18,Winter,Medium,4,WFH,False,5.0,0.7545768278271253,0.717361111111111,1.3653568843790447,1.063025,0.056008586477961204
M001,2006-12-16 18:15:00,234.80333333333334,16.226666666666667,3.768533333333333,0.98,0.9421333333333333,0,NORMAL,Saturday,18,Winter,Medium,4,WFH,False,5.0,0.7545768278271253,0.717361111111111,1.2485585278921094,1.0388466666666667,0.07263387868848344
M001,2006-12-16 18:30:00,234.58266666666665,13.44,3.1276,0.98,0.7819,0,NORMAL,Saturday,18,Winter,Medium,4,WFH,False,5.0,0.7545768278271253,0.717361111111111,1.036209927425885,0.9960222222222223,0.12338615205329362
M001,2006-12-16 18:45:00,233.36866666666666,15.026666666666667,3.5116,0.98,0.8779,0,NORMAL,Saturday,18,Winter,Medium,4,WFH,False,5.0,0.7545768278271253,0.717361111111111,1.163433553251291,0.979147619047619,0.12116126055056142
M001,2006-12-16 19:00:00,233.56666666666666,14.866666666666667,3.4845333333333333,0.98,0.8711333333333333,0,NORMAL,Saturday,19,Winter,Medium,4,WFH,False,5.0,0.7545768278271253,0.6754583333333333,1.1544660546254029,0.9656458333333333,0.1184959351489551
M001,2006-12-16 19:15:00,233.94133333333332,14.626666666666667,3.4442666666666666,0.98,0.8610666666666666,0,NORMAL,Saturday,19,Winter,Medium,4,WFH,False,5.0,0.7545768278271253,0.6754583333333333,1.1411252438617665,0.9540259259259258,0.11619520665407283
M001,2006-12-16 19:30:00,232.86599999999999,14.4,3.3724,0.98,0.8431,0,NORMAL,Saturday,19,Winter,Medium,4,WFH,False,5.0,0.7545768278271253,0.6754583333333333,1.1173149888895813,0.9429333333333334,0.115028843403795
M001,2006-12-16 19:45:00,232.556,14.120000000000001,3.2997333333333336,0.98,0.8249333333333334,0,NORMAL,Saturday,19,Winter,Medium,4,WFH,False,5.0,0.7545768278271253,0.6754583333333333,1.0932396846969263,0.9322060606060606,0.11477930787015356
M001,2006-12-16 20:00:00,233.15,14.106666666666666,3.3073333333333332,0.98,0.8268333333333333,0,NORMAL,Saturday,20,Winter,Medium,4,WFH,False,5.0,0.7545768278271253,0.7242395265713095,1.0957576522913874,0.9234249999999999,0.1135865799131377
M001,2006-12-16 20:15:00,233.29933333333332,14.026666666666667,3.2898666666666667,0.98,0.8224666666666667,0,NORMAL,Saturday,20,Winter,Medium,4,WFH,False,5.0,0.7545768278271253,0.7242395265713095,1.0899707443111346,0.9156589743589744,0.11229780443241916
M001,2006-12-16 20:30:00,233.67000000000002,13.84,3.2556000000000003,0.98,0.8139000000000001,0,NORMAL,Saturday,20,Winter,Medium,4,WFH,False,5.0,0.7545768278271253,0.7242395265713095,1.0786178027010203,0.9083904761904762,0.11126711329323899
M001,2006-12-16 20:45:00,236.16666666666666,13.693333333333333,3.2214666666666667,0.98,0.8053666666666667,0,NORMAL,Saturday,20,Winter,Medium,4,WFH,False,5.0,0.7545768278271253,0.7242395265713095,1.0673090359609843,0.9015222222222222,0.11047014081000345
